id_entrega,fecha,ciudad,servicio,distancia_km,costo_base,estado,vehiculo
1038,2026-01-19,Bucaramanga,Estándar,52.0,5580.0,Cancelada,Moto
1039,2026-01-20,Medellín,Programada,26.0,18481.0,Entregada,Camioneta
1040,2026-01-20,Villavicencio,Mismo día,76.0,15001.0,Cancelada,Furgón
1041,2026-01-21,MEDELLIN,Mismo día,62.0,22520.0,En tránsito,Furgón
1042,2026-01-21,Bucaramanga,Mismo día,41.0,26878.0,Pendiente,Camioneta
1043,2026-01-22,Bucaramanga,Programada,74.0,29062.0,Cancelada,Moto
1044,2026-01-22,Cali,Estándar,35.0,20256.0,En tránsito,Furgón
1045,2026-01-23,Bogotá,Mismo día,12.0,14064.0,En tránsito,Moto
1046,2026-01-23,Ibagué,Estándar,3.0,16099.0,En tránsito,Camioneta
1047,2026-01-24,Cali,Programada,75.0,9411.0,Cancelada,Camioneta
1048,2026-01-24,Ibagué,,76.0,28399.0,En tránsito,Furgón
1049,2026-01-25,Bucaramanga,Estándar,59.0,26183.0,En tránsito,Moto
1050,2026-01-25,Bucaramanga,Express,9.0,26350.0,En tránsito,Camioneta
1051,2026-01-26,Bucaramanga,Mismo día,24.0,13203.0,Entregada,Camioneta
1052,2026-01-26,Medellín,Express,4.0,13055.0,En tránsito,Camioneta
1053,2026-01-27,Cali,Express,5.0,26416.0,Entregada,Furgón
1054,2026-01-27,Cali,Mismo día,20.0,18614.0,Entregada,Furgón
1055,2026-01-28,Cali,Programada,46.0,22617.0,Pendiente,Camioneta
1056,2026-01-28,Bogotá,express,6.0,17246.0,Entregada,Camioneta
1057,2026-01-29,Villavicencio,Programada,78.0,16069.0,Pendiente,Furgón
1058,2026-01-29,Bogotá,Estándar,36.0,20805.0,Cancelada,Camioneta
1059,2026-01-30,Bucaramanga,Express,21.0,25325.0,Pendiente,Moto
1060,2026-01-30,Bucaramanga,Programada,41.0,13353.0,En tránsito,Camioneta
1061,2026-01-31,Ibagué,Express,63.0,25229.0,Entregada,Moto
1062,2026-01-31,Bucaramanga,Programada,25.0,11105.0,Cancelada,Moto
1063,2026-02-01,Cali,Mismo día,4.0,15071.0,Cancelada,Camioneta
1064,2026-02-01,Ibagué,Mismo día,5.0,27817.0,Pendiente,Furgón
1065,,Cali,Estándar,68.0,28862.0,Entregada,Furgón
1066,2026-02-02,Medellín,Mismo día,9.0,28097.0,Entregada,Moto
1067,2026-02-03,Ibagué,Programada,51.0,12901.0,En tránsito,Camioneta
1068,2026-02-03,Cali,Estándar,31.0,26083.0,Entregada,Moto
1069,2026-02-04,Bogotá,Express,62.0,28403.0,Cancelada,Furgón
1070,2026-02-04,Cali,Estándar,5.0,29456.0,Entregada,Moto
1071,2026-02-05,MEDELLIN,Programada,71.0,5522.0,En tránsito,Furgón
1072,2026-02-05,Medellín,Mismo día,56.0,23625.0,Cancelada,Furgón
1073,2026-02-06,Cali,Express,36.0,29919.0,Cancelada,Furgón
1074,2026-02-06,Bogotá,Programada,17.0,24117.0,Entregada,Moto
1075,2026-02-07,Bucaramanga,Mismo día,78.0,,En tránsito,Furgón
1076,2026-02-07,Cali,Mismo día,24.0,24065.0,Pendiente,Furgón
1077,2026-02-08,Medellín,Estándar,39.0,7631.0,Pendiente,Camioneta
1078,2026-02-08,Medellín,Express,32.0,17015.0,Cancelada,Furgón
1079,2026-02-09,Villavicencio,Estándar,19.0,20656.0,Cancelada,Furgón
1080,2026-02-09,Bucaramanga,Mismo día,33.0,16411.0,Cancelada,Moto
1081,2026-02-10, bogota ,Mismo día,12.0,22496.0,Entregada,Furgón
1082,2026-02-10,Cali,Programada,1.0,11005.0,Entregada,Furgón
1083,2026-02-11,Bogotá,Express,23.0,20156.0,Pendiente,Moto
1084,2026-02-11,Bucaramanga,Express,9.0,21121.0,Entregada,Moto
1085,2026-02-12,Villavicencio,,33.0,20845.0,En tránsito,Furgón
1086,2026-02-12,Bucaramanga,Programada,69.0,12233.0,Entregada,Moto
1087,2026-02-13,Bogotá,Express,13.0,12634.0,Cancelada,Camioneta
1088,2026-02-13,Medellín,Programada,1.0,11445.0,Entregada,Furgón
1089,2026-02-14,Bucaramanga,Programada,9.0,16544.0,Entregada,Camioneta
1090,2026-02-14,Bucaramanga,Express,,19649.0,Entregada,Furgón
1091,2026-02-15,Cali,Express,22.0,14063.0,entregada,Moto
1092,2026-02-15,Bucaramanga,Estándar,39.0,15249.0,Pendiente,Moto
1093,,Ibagué,Programada,3.0,12160.0,En tránsito,Furgón
1094,2026-02-16,Cali,Mismo día,27.0,10471.0,Cancelada,Camioneta
1095,2026-02-17,Ibagué,Estándar,33.0,21436.0,En tránsito,Moto
1096,2026-02-17,Medellín,Estándar,35.0,25402.0,Pendiente,Moto
1097,2026-02-18,Medellín,Mismo día,44.0,12267.0,Pendiente,Camioneta
1098,2026-02-18,Bucaramanga,Estándar,62.0,26515.0,Pendiente,Camioneta
1099,2026-02-19,Villavicencio,Estándar,37.0,19275.0,Cancelada,Moto
1100,2026-02-19,Bogotá,Estándar,67.0,9192.0,Entregada,Camioneta
1101,2026-02-20,Bucaramanga,Express,42.0,14150.0,Pendiente,Camioneta
1102,2026-02-20,Medellín,Estándar,21.0,5187.0,Cancelada,Camioneta
1103,2026-02-21,Bucaramanga,Programada,19.0,5979.0,Cancelada,Moto
1104,2026-02-21,Bogotá,Mismo día,26.0,13403.0,Pendiente,Camioneta
1105,2026-02-22,Bucaramanga,Programada,,16362.0,Pendiente,Furgón
1106,2026-02-22,Bucaramanga,Mismo día,20.0,24938.0,Cancelada,Moto
1107,2026-02-23,Bucaramanga,Programada,73.0,8357.0,Pendiente,Moto
1108,2026-02-23,Villavicencio,Express,38.0,25980.0,Cancelada,Furgón
1109,2026-02-24,Cali,Estándar,69.0,10863.0,Entregada,Camioneta
1110,2026-02-24,Bucaramanga,Mismo día,54.0,8458.0,En tránsito,Furgón
1111,2026-02-25,Medellín,Express,27.0,22498.0,Entregada,Camioneta
1112,2026-02-25,Bucaramanga,Mismo día,19.0,24359.0,Entregada,Furgón
1113,2026-02-26,Villavicencio,Programada,59.0,20123.0,En tránsito,Camioneta
1114,2026-02-26,Cali,Estándar,27.0,7892.0,Entregada,Moto
1115,2026-02-27,Villavicencio,Mismo día,20.0,7883.0,En tránsito,Furgón
1116,2026-02-27,Villavicencio,express,74.0,14751.0,En tránsito,Camioneta
1117,2026-02-28,Bogotá,Express,39.0,16265.0,Pendiente,Moto
1118,2026-02-28,Bogotá,Express,4.0,29966.0,Cancelada,Camioneta
1119,2026-03-01,Medellín,Programada,40.0,12162.0,Cancelada,Camioneta
1120,2026-03-01,Bogotá,Mismo día,37.0,9814.0,En tránsito,Moto
1121,2026-03-02, bogota ,Express,69.0,28648.0,En tránsito,Furgón
1122,2026-03-02,Bucaramanga,Programada,57.0,8849.0,Cancelada,Moto
1123,2026-03-03,Villavicencio,Express,16.0,5660.0,Entregada,Moto
1124,2026-03-03,Cali,Programada,12.0,15570.0,Pendiente,Camioneta
1125,2026-03-04,Ibagué,Programada,48.0,15027.0,En tránsito,Furgón
1126,2026-03-04,Villavicencio,Express,4.0,20492.0,Entregada,Furgón
1127,2026-03-05,Bogotá,Programada,26.0,26944.0,Pendiente,Furgón
1128,2026-03-05,Bucaramanga,Mismo día,11.0,28323.0,En tránsito,Moto
1129,2026-03-06,Villavicencio,Mismo día,2.0,12241.0,Entregada,Furgón
1130,2026-03-06,Villavicencio,Express,73.0,29521.0,Pendiente,Furgón
1131,2026-03-07,Villavicencio,Express,8.0,20817.0,Entregada,Camioneta
1132,2026-03-07,Villavicencio,Express,1.0,6741.0,Pendiente,Camioneta
1133,2026-03-08,Bogotá,Estándar,74.0,28462.0,Entregada,Moto
1134,2026-03-08,Villavicencio,Express,15.0,8450.0,En tránsito,Furgón
1135,2026-03-09,Bucaramanga,Mismo día,65.0,,Cancelada,Furgón
1136,2026-03-09,Medellín,Mismo día,3.0,24769.0,Entregada,Camioneta
1137,2026-03-10,Villavicencio,Mismo día,13.0,11236.0,Cancelada,Camioneta
1138,2026-03-10,Bogotá,Express,9.0,11766.0,Pendiente,Camioneta
1139,2026-03-11,Cali,Express,56.0,16904.0,Cancelada,Moto
1140,2026-03-11,Cali,Mismo día,49.0,27122.0,Entregada,Camioneta
1141,2026-03-12,Ibagué,Estándar,38.0,10590.0,Pendiente,Furgón
1142,2026-03-12,Medellín,Programada,20.0,21586.0,Cancelada,Furgón
1143,2026-03-13,Medellín,Mismo día,8.0,16315.0,Cancelada,Furgón
1144,2026-03-13,Cali,Express,45.0,7796.0,Entregada,Camioneta
1145,2026-03-14,Ibagué,Express,19.0,22772.0,Cancelada,Furgón
1146,2026-03-14,Ibagué,Express,47.0,25814.0,Entregada,Camioneta
1147,2026-03-15,Bogotá,Express,55.0,19391.0,Pendiente,Camioneta
1148,2026-03-15,Medellín,Express,68.0,9409.0,En tránsito,Camioneta
1149,2026-03-16,Bucaramanga,Mismo día,40.0,8893.0,Pendiente,Furgón
1150,2026-03-16,Bogotá,Programada,1.0,15587.0,Pendiente,Furgón
1151,2026-03-17,MEDELLIN,Mismo día,23.0,17660.0,Entregada,Moto
1152,2026-03-17,Medellín,Mismo día,68.0,18805.0,Pendiente,Moto
1153,2026-03-18,Ibagué,Mismo día,43.0,11091.0,Cancelada,Camioneta
1154,2026-03-18,Medellín,Express,49.0,17519.0,En tránsito,Camioneta
1155,2026-03-19,Cali,Estándar,37.0,12377.0,En tránsito,Furgón
1156,2026-03-19,Villavicencio,Mismo día,13.0,22154.0,Cancelada,Camioneta
1157,2026-03-20,Bogotá,Express,,24912.0,Entregada,Camioneta
1158,2026-03-20,Villavicencio,Express,62.0,21317.0,En tránsito,Furgón
1159,2026-03-21,Villavicencio,Programada,79.0,5031.0,Pendiente,Camioneta
1160,2026-03-21,Bucaramanga,Mismo día,68.0,29802.0,En tránsito,Camioneta
1161,2026-03-22,Ibagué,Mismo día,23.0,5594.0,entregada,Camioneta
1162,2026-03-22,Villavicencio,Mismo día,21.0,29986.0,En tránsito,Camioneta
1163,2026-03-23,Cali,Express,20.0,5794.0,Cancelada,Furgón
1164,2026-03-23,Cali,Mismo día,73.0,17912.0,Entregada,Furgón
1165,2026-03-24,Cali,Mismo día,44.0,7649.0,Pendiente,Camioneta
1166,2026-03-24,Bucaramanga,Programada,36.0,,Pendiente,Camioneta
1167,2026-03-25,Medellín,Mismo día,77.0,22085.0,Entregada,Camioneta
1168,2026-03-25,Medellín,Mismo día,48.0,23196.0,Entregada,Moto
1169,2026-03-26,Cali,Estándar,72.0,7956.0,Pendiente,Camioneta
1170,2026-03-26,Bogotá,Express,78.0,29417.0,Pendiente,Moto
1171,2026-03-27,Bogotá,Estándar,7.0,13011.0,Pendiente,Moto
1172,2026-03-27,Bogotá,Express,29.0,12958.0,Entregada,Moto
1173,2026-03-28,Bucaramanga,Express,58.0,12424.0,Pendiente,Camioneta
1174,2026-03-28,Bucaramanga,Express,65.0,16530.0,Cancelada,Moto
1175,2026-03-29,Bucaramanga,Programada,12.0,9446.0,Entregada,Camioneta
1176,2026-03-29,Cali,Programada,26.0,15619.0,En tránsito,Camioneta
1177,2026-03-30,Bucaramanga,Programada,44.0,10249.0,En tránsito,Camioneta
1178,2026-03-30,Bogotá,Programada,64.0,6285.0,Cancelada,Furgón
1179,2026-03-31,Ibagué,Programada,9.0,14218.0,En tránsito,Camioneta
1180,2026-03-31,Villavicencio,Programada,48.0,21807.0,En tránsito,Furgón
1181,2026-04-01,Ibagué,Express,24.0,24078.0,Pendiente,Furgón
1182,2026-04-01,Bogotá,Mismo día,18.0,13833.0,Entregada,Moto
1183,2026-04-02,Cali,Estándar,41.0,13093.0,Cancelada,Moto
1184,2026-04-02,Bucaramanga,Express,33.0,24687.0,Cancelada,Camioneta
1185,2026-04-03,Cali,Mismo día,51.0,22030.0,Pendiente,Furgón
1186,2026-04-03,Cali,Programada,26.0,25803.0,Pendiente,Moto
1187,2026-04-04,Bogotá,Express,66.0,27653.0,Pendiente,Moto
1188,2026-04-04,Cali,Express,7.0,25531.0,Cancelada,Furgón
1189,2026-04-05,Medellín,Express,69.0,28413.0,Cancelada,Furgón
1190,2026-04-05,Medellín,Estándar,3.0,,En tránsito,Moto
1191,2026-04-06, bogota ,Express,59.0,,En tránsito,Camioneta
1192,,Villavicencio,Programada,28.0,13038.0,Pendiente,Camioneta
1193,2026-04-07,Villavicencio,Programada,31.0,10880.0,Entregada,Moto
1194,2026-04-07,Cali,Mismo día,2.0,23721.0,Cancelada,Moto
1195,2026-04-08,Ibagué,Programada,56.0,,Cancelada,Camioneta
1196,2026-04-08,Bogotá,Programada,14.0,25035.0,Pendiente,Camioneta
1197,2026-04-09,Cali,Programada,53.0,9184.0,En tránsito,Moto
1198,2026-04-09,Bogotá,Express,58.0,17281.0,En tránsito,Camioneta
1199,2026-04-10,Cali,Express,67.0,10549.0,En tránsito,Moto
1200,2026-04-10,Ibagué,Programada,56.0,27326.0,Pendiente,Furgón
1201,2026-04-11,Cali,Express,24.0,11685.0,Cancelada,Moto
1202,2026-04-11,Ibagué,Express,59.0,8597.0,Pendiente,Moto
1203,2026-04-12,Cali,Express,66.0,19247.0,Cancelada,Moto
1204,2026-04-12,Bucaramanga,Mismo día,,26977.0,Cancelada,Furgón
1205,2026-04-13,Cali,Estándar,10.0,27894.0,Pendiente,Furgón
1206,2026-04-13,Medellín,express,71.0,7402.0,En tránsito,Camioneta
1207,2026-04-14,Bucaramanga,Estándar,12.0,13147.0,Pendiente,Moto
1208,2026-04-14,Ibagué,Express,47.0,8838.0,En tránsito,Furgón
1209,2026-04-15,Medellín,Estándar,19.0,12696.0,Pendiente,Camioneta
1210,2026-04-15,Bucaramanga,Express,10.0,18346.0,Cancelada,Furgón
1211,2026-04-16,Medellín,Mismo día,62.0,12014.0,En tránsito,Camioneta
1212,2026-04-16,Bucaramanga,Express,12.0,6688.0,Pendiente,Furgón
1213,2026-04-17,Bucaramanga,Estándar,53.0,17751.0,Entregada,Furgón
1214,2026-04-17,Cali,Mismo día,55.0,6320.0,Pendiente,Moto
1215,2026-04-18,Bucaramanga,Programada,5.0,10667.0,En tránsito,Furgón
1216,2026-04-18,Medellín,,14.0,5012.0,En tránsito,Moto
1217,2026-04-19,Bogotá,Programada,63.0,7170.0,Pendiente,Camioneta
1218,2026-04-19,Bogotá,Mismo día,41.0,15908.0,Entregada,Moto
1219,2026-04-20,Cali,Estándar,10.0,26268.0,Pendiente,Furgón
1220,2026-04-20,Ibagué,Programada,79.0,24366.0,Pendiente,Moto
1221,2026-04-21,,Mismo día,21.0,7470.0,En tránsito,Camioneta
1222,2026-04-21,Cali,Programada,1.0,5870.0,Entregada,Camioneta
1223,2026-04-22,Bucaramanga,Estándar,74.0,13452.0,En tránsito,Furgón
1224,2026-04-22,Medellín,Express,2.0,21307.0,Entregada,Furgón
1225,2026-04-23,Bucaramanga,Express,44.0,23669.0,En tránsito,Moto
1226,2026-04-23,Medellín,Mismo día,79.0,25579.0,Pendiente,Furgón
1227,2026-04-24,Bucaramanga,Programada,46.0,13555.0,Entregada,Moto
1228,2026-04-24,Villavicencio,Estándar,47.0,9200.0,Pendiente,Camioneta
1229,2026-04-25,Villavicencio,Estándar,31.0,5658.0,Entregada,Camioneta
1230,2026-04-25,Medellín,Programada,11.0,8671.0,Cancelada,Camioneta
1231,2026-04-26,Cali,Programada,46.0,6629.0,Pendiente,Furgón
1232,2026-04-26,Ibagué,Programada,71.0,,En tránsito,Furgón
1233,2026-04-27,Bogotá,Estándar,8.0,11710.0,Pendiente,Camioneta
1234,2026-04-27,Bucaramanga,Programada,70.0,25578.0,Entregada,Furgón
1235,2026-04-28,Cali,Estándar,33.0,18829.0,Entregada,Moto
1236,2026-04-28,Bucaramanga,Mismo día,,18474.0,Cancelada,Moto
1237,2026-04-29,Villavicencio,Express,14.0,16370.0,Cancelada,Camioneta
1238,2026-04-29,Cali,Express,50.0,25480.0,Entregada,Camioneta
1239,2026-04-30,Medellín,Estándar,15.0,6086.0,En tránsito,Furgón
1240,2026-04-30,Villavicencio,Programada,,7318.0,Entregada,Furgón
1241,2026-05-01,Bogotá,Programada,58.0,15585.0,En tránsito,Moto
1242,2026-05-01,Villavicencio,Estándar,4.0,14862.0,En tránsito,Moto
1243,2026-05-02,Bogotá,Mismo día,36.0,18640.0,En tránsito,Furgón
1244,2026-05-02,,Estándar,47.0,23445.0,Pendiente,Camioneta
1245,2026-05-03,Villavicencio,Express,11.0,,Entregada,Moto
1246,2026-05-03,Bogotá,Express,24.0,11436.0,Cancelada,Furgón
1247,2026-05-04,Bucaramanga,Mismo día,28.0,13182.0,Pendiente,Camioneta
1248,2026-05-04,Cali,Express,53.0,23808.0,Cancelada,Furgón
1249,2026-05-05,Bucaramanga,Mismo día,78.0,10036.0,Entregada,Furgón
1250,2026-05-05,Bogotá,Estándar,67.0,17604.0,Pendiente,Furgón
1251,2026-05-06,Medellín,Express,15.0,18470.0,Cancelada,Camioneta
1252,2026-05-06,Cali,Estándar,2.0,23757.0,Entregada,Furgón
1253,2026-05-07,Medellín,Programada,5.0,22859.0,Cancelada,Furgón
1254,2026-05-07,Medellín,Estándar,48.0,16617.0,En tránsito,Moto
1255,2026-05-08,Villavicencio,Mismo día,13.0,12729.0,Cancelada,Moto
1256,2026-05-08,Bogotá,Programada,19.0,14197.0,En tránsito,Moto
1257,2026-05-09,Bucaramanga,Estándar,67.0,15290.0,Cancelada,Camioneta
1258,2026-05-09,Bogotá,Programada,70.0,10479.0,Entregada,Camioneta
1259,2026-05-10,Medellín,Mismo día,67.0,20635.0,En tránsito,Moto
1260,2026-05-10,Villavicencio,Estándar,21.0,10209.0,En tránsito,Camioneta
1261,2026-05-11,Bucaramanga,Express,49.0,21217.0,Entregada,Moto
1262,2026-05-11,Medellín,Estándar,49.0,23788.0,En tránsito,Camioneta
1263,2026-05-12,Medellín,Mismo día,15.0,29046.0,En tránsito,Camioneta
1264,2026-05-12,Ibagué,Express,44.0,7972.0,Entregada,Camioneta
1265,2026-05-13,Ibagué,Mismo día,42.0,23994.0,Pendiente,Camioneta
1266,2026-05-13,Villavicencio,Programada,32.0,,Pendiente,Camioneta
1267,2026-05-14,Cali,Programada,60.0,13431.0,Cancelada,Furgón
1268,2026-05-14,Cali,Estándar,54.0,9407.0,Pendiente,Furgón
1269,2026-05-15,Villavicencio,Mismo día,43.0,9057.0,Entregada,Furgón
1270,2026-05-15,Villavicencio,Express,58.0,9383.0,Entregada,Camioneta
1271,2026-05-16,Medellín,Estándar,61.0,6098.0,En tránsito,Camioneta
1272,2026-05-16,Bogotá,Estándar,45.0,25578.0,En tránsito,Moto
1273,2026-05-17,Bogotá,Estándar,22.0,6528.0,Entregada,Camioneta
1274,2026-05-17,Ibagué,Estándar,60.0,14963.0,Cancelada,Moto
1275,2026-05-18,Cali,Express,57.0,22479.0,Pendiente,Camioneta
1276,2026-05-18,Cali,Express,78.0,29760.0,Pendiente,Moto
1277,2026-05-19,Cali,Express,12.0,26343.0,Entregada,Camioneta
1278,2026-05-19,Bucaramanga,Programada,34.0,8430.0,Cancelada,Furgón
1279,2026-05-20,Bogotá,Estándar,74.0,29694.0,Entregada,Furgón
1280,2026-05-20,Bogotá,Programada,41.0,21339.0,En tránsito,Camioneta
1281,2026-05-21,Medellín,Programada,75.0,9489.0,En tránsito,Moto
1282,2026-05-21,Cali,Programada,1.0,16218.0,Cancelada,Moto
1283,2026-05-22,Bucaramanga,Programada,3.0,27947.0,En tránsito,Moto
1284,2026-05-22,Cali,Programada,63.0,14823.0,Entregada,Furgón
1285,2026-05-23,Cali,Programada,29.0,9591.0,En tránsito,Furgón
1286,2026-05-23,Ibagué,Programada,42.0,26877.0,En tránsito,Camioneta
1287,2026-05-24,Bogotá,Programada,34.0,28825.0,Entregada,Moto
1288,2026-05-24,Villavicencio,Estándar,33.0,29390.0,Entregada,Moto
1289,2026-05-25,Villavicencio,Express,75.0,28893.0,Entregada,Furgón
1290,2026-05-25,Cali,Mismo día,,26822.0,En tránsito,Moto
1291,2026-05-26,Bucaramanga,Estándar,62.0,16362.0,En tránsito,Moto
1292,2026-05-26,Medellín,Programada,71.0,9807.0,En tránsito,Moto
1293,2026-05-27,Ibagué,Express,52.0,20429.0,Pendiente,Moto
1294,2026-05-27,Medellín,Estándar,32.0,10520.0,Entregada,Camioneta
1295,2026-05-28,Villavicencio,Programada,13.0,16829.0,Cancelada,Furgón
1296,2026-05-28,Villavicencio,Programada,54.0,21402.0,Cancelada,Moto
1297,2026-05-29,Ibagué,Programada,38.0,28665.0,Entregada,Furgón
1298,2026-05-29,Cali,Estándar,12.0,12227.0,En tránsito,Moto
1299,2026-05-30,Medellín,Mismo día,29.0,11298.0,Entregada,Moto
1300,2026-05-30,Bogotá,Programada,76.0,23368.0,En tránsito,Moto
1301,2026-05-31,Cali,Mismo día,35 km,5161.0,En tránsito,Furgón
1302,2026-05-31,Bucaramanga,,sin dato,19161.0,Entregada,Camioneta
1303,2026-06-01,Bogotá,Programada,45km,23648.0,Entregada,Furgón
1304,2026-06-01,Ibagué,Mismo día,16.0,18773.0,En tránsito,Moto
1305,2026-06-02,Villavicencio,Express,73.0,14599.0,Pendiente,Moto
1306,2026-06-02,Bogotá,Mismo día,68.0,25714.0,En tránsito,Furgón
1307,2026-06-03,Medellín,Mismo día,78.0,14276.0,Cancelada,Moto
1308,2026-06-03,Villavicencio,Programada,73.0,22764.0,En tránsito,Moto
1309,2026-06-04,Medellín,Programada,20.0,16604.0,Cancelada,Camioneta
1310,2026-06-04,Bogotá,Programada,17.0,5664.0,Entregada,Camioneta
1311,2026-06-05,Villavicencio,Estándar,28.0,18263.0,Pendiente,Moto
1312,2026-06-05,Bucaramanga,Mismo día,38.0,6236.0,Cancelada,Camioneta
1313,2026-06-06,Bogotá,Express,70.0,28274.0,Entregada,Furgón
1314,2026-06-06,Medellín,Estándar,58.0,20039.0,Cancelada,Camioneta
1315,2026-06-07,Medellín,Programada,51.0,14301.0,En tránsito,Camioneta
1316,2026-06-07,Villavicencio,Mismo día,70.0,17155.0,En tránsito,Moto
1317,2026-06-08,Bucaramanga,Estándar,52.0,20480.0,Pendiente,Camioneta
1318,2026-06-08,Bucaramanga,Estándar,30.0,11504.0,Pendiente,Furgón
1319,2026-06-09,Ibagué,Express,33.0,12210.0,Entregada,Camioneta
1320,2026-06-09,Bucaramanga,Express,41.0,15466.0,Cancelada,Furgón
1321,2026-06-10,Medellín,Express,8.0,$12000,Pendiente,Moto
1322,2026-06-10,Bogotá,Express,59.0,pendiente,Cancelada,Moto
1323,2026-06-11,Villavicencio,Mismo día,52.0,7595.0,En tránsito,Camioneta
1324,2026-06-11,Ibagué,Mismo día,58.0,25666.0,Pendiente,Moto
1325,2026-06-12,Ibagué,Mismo día,43.0,13713.0,En tránsito,Camioneta
1326,2026-06-12,Medellín,Express,62.0,19031.0,Cancelada,Furgón
1327,2026-06-13,Medellín,Express,76.0,8944.0,Cancelada,Camioneta
1328,2026-06-13,Bogotá,Estándar,46.0,14634.0,Cancelada,Camioneta
1329,2026-06-14,Bogotá,Programada,36.0,23865.0,Pendiente,Furgón
1330,2026-06-14,Villavicencio,Estándar,9.0,11767.0,Cancelada,Moto
1331,2026/02/15,Villavicencio,Estándar,62.0,8307.0,En tránsito,Furgón
1332,fecha_desconocida,Cali,Express,72.0,18048.0,En tránsito,Moto
1333,2026-06-16,Medellín,Programada,56.0,9062.0,Cancelada,Furgón
1334,2026-06-16,Bucaramanga,Estándar,69.0,12869.0,Entregada,Camioneta
1335,2026-06-17,Cali,Express,69.0,16261.0,Pendiente,Moto
1336,2026-06-17,Bucaramanga,Programada,64.0,19102.0,Entregada,Furgón
1337,2026-06-18,Ibagué,Mismo día,40.0,20985.0,Pendiente,Moto
1338,2026-06-18,Medellín,Express,8.0,21916.0,En tránsito,Camioneta
1339,2026-06-19,Medellín,Estándar,1.0,26108.0,En tránsito,Furgón
1340,2026-06-19,Ibagué,Mismo día,17.0,6652.0,En tránsito,Furgón
1341,2026-06-20,Villavicencio,Programada,35.0,14058.0,En tránsito,Furgón
1342,2026-06-20,Medellín,Mismo día,,5026.0,En tránsito,Camioneta
1343,2026-06-21,Villavicencio,Estándar,37.0,5236.0,En tránsito,Camioneta
1344,2026-06-21,Villavicencio,Estándar,2.0,10307.0,Pendiente,Moto
1345,2026-06-22,Ibagué,Programada,17.0,19954.0,Cancelada,Furgón
1346,2026-06-22,Medellín,Express,78.0,27363.0,Pendiente,Camioneta
1347,2026-06-23,Ibagué,Express,79.0,24339.0,Pendiente,Furgón
1348,2026-06-23,Ibagué,Programada,30.0,21157.0,Cancelada,Camioneta
1349,2026-06-24,Medellín,Programada,64.0,24454.0,Cancelada,Furgón
1350,2026-06-24,Bogotá,Express,57.0,9299.0,Entregada,Moto
